Q_No,question,option 1,option 2,option 3,option 4,answer
1,What is the basic unit of life?,Tissue,Cell,Organ,Organism,Cell
2,Which part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
3,Which organ purifies blood in the human body?,Heart,Kidney,Liver,Lungs,Kidney
4,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Chloroplast,Mitochondria
5,Which gas is released during photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Oxygen
6,What is the scientific study of living things called?,Chemistry,Biology,Physics,Zoology,Biology
7,Which blood cells help in clotting of blood?,RBC,WBC,Platelets,Plasma,Platelets
8,Which organ helps in pumping blood?,Lungs,Brain,Heart,Liver,Heart
9,What is the largest organ in the human body?,Heart,Skin,Liver,Brain,Skin
10,Which vitamin is produced by sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
11,Which part of the plant absorbs water?,Leaf,Stem,Root,Flower,Root
12,Which animal is known as the King of the Jungle?,Elephant,Lion,Tiger,Cheetah,Lion
13,What is the chemical formula of water?,H2O,CO2,O2,N2,H2O
14,Which organ is responsible for respiration?,Heart,Lungs,Liver,Stomach,Lungs
15,What is the main function of the brain?,Breathing,Thinking,Digestion,Blood circulation,Thinking
16,Which pigment gives green color to plants?,Carotene,Melanin,Chlorophyll,Xanthophyll,Chlorophyll
17,How many bones are there in an adult human body?,200,206,210,212,206
18,Which part of the body controls balance?,Brain,Heart,Ear,Liver,Ear
19,Which is the largest gland in the human body?,Liver,Pancreas,Thyroid,Adrenal,Liver
20,What is the function of red blood cells?,Fight infection,Transport oxygen,Clot blood,Produce hormones,Transport oxygen
21,Which part of the human body is responsible for digestion?,Lungs,Heart,Stomach,Brain,Stomach
22,Which organ excretes urine?,Heart,Lungs,Stomach,Kidney,Kidney
23,What is the normal temperature of the human body?,96°F,98.6°F,99°F,100°F,98.6°F
24,Which vitamin is known as Ascorbic Acid?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin C
25,Which part of the cell contains genetic material?,Cytoplasm,Nucleus,Cell wall,Ribosome,Nucleus
26,What are animals that eat both plants and meat called?,Herbivores,Carnivores,Omnivores,Insectivores,Omnivores
27,Which disease is caused by a virus?,Malaria,Typhoid,Influenza,Cholera,Influenza
28,Which is the smallest bone in the human body?,Femur,Stapes,Tibia,Humerus,Stapes
29,What is the study of fungi called?,Zoology,Mycology,Botany,Pathology,Mycology
30,Which part of the human brain controls breathing?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Medulla oblongata
31,What is the lifespan of red blood cells?,60 days,90 days,120 days,150 days,120 days
32,Which blood group is known as the universal donor?,A,B,AB,O,O
33,Which process converts sugar into energy in cells?,Photosynthesis,Respiration,Digestion,Excretion,Respiration
34,What type of blood cells fight infections?,RBC,WBC,Platelets,Plasma,WBC
35,Which part of the eye controls the amount of light entering?,Lens,Iris,Cornea,Retina,Iris
36,What is the outermost layer of skin called?,Dermis,Epidermis,Subcutaneous,Muscle,Epidermis
37,Which is the largest bone in the human body?,Femur,Skull,Spine,Rib,Femur
38,Which disease is caused by deficiency of Vitamin D?,Scurvy,Rickets,Goitre,Beriberi,Rickets
39,Which part of a plant grows underground?,Leaf,Stem,Root,Flower,Root
40,Which organism prepares its own food?,Human,Cat,Dog,Plant,Plant
41,What is the process by which plants lose water?,Respiration,Transpiration,Perspiration,Condensation,Transpiration
42,Which organ stores bile juice?,Stomach,Liver,Pancreas,Gall bladder,Gall bladder
43,Which is the heaviest internal organ?,Heart,Lungs,Liver,Stomach,Liver
44,What is the study of heredity called?,Ecology,Genetics,Zoology,Botany,Genetics
45,Which vitamin helps in blood clotting?,Vitamin A,Vitamin D,Vitamin E,Vitamin K,Vitamin K
46,Which organ produces insulin?,Liver,Pancreas,Kidney,Heart,Pancreas
47,Which part of the human skeleton protects the brain?,Rib cage,Skull,Spine,Vertebra,Skull
48,What is the scientific name of humans?,Homo erectus,Homo sapiens,Homo habilis,Homo neanderthalensis,Homo sapiens
49,Which gas do humans exhale during respiration?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide
50,Which organ helps in hearing?,Nose,Tongue,Ear,Skin,Ear
